2020-07-08 20:32:18.6098||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:32:19.1938|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:32:20.5351||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:34:30.6321||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:34:37.4482||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:34:37.4522||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:34:37.4522||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:34:37.9001|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:34:38.0288||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:39:05.4994||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:39:09.4208||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:39:09.4406||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:39:09.4605||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:39:09.5764|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:39:09.6411||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:40:55.7141||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:41:09.7257||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:41:09.7517||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:41:09.7906||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:41:09.9189|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:43:09.1048||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:47:27.0520||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:47:29.9543||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:47:29.9807||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:47:30.0011||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:47:30.1235|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:47:30.2214||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:50:17.8367||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:50:20.8220||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:50:20.8364||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:50:20.8754||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:50:20.9612|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:50:20.9612||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:52:27.5391||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:52:30.7131||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:52:30.7287||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:52:30.7658||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:52:30.8975|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:52:30.8975||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:56:29.9286||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:56:33.9832||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:56:33.9997||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:56:34.0338||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:56:34.1813|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:56:34.3182||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:57:45.7573||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:57:50.4013||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:57:50.4148||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:57:50.4465||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:57:50.5940|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:57:50.7208||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 21:49:39.4922||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 21:49:45.1255||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 21:49:45.1392||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 21:49:45.1392||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 21:49:45.8251|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 21:49:46.4924||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 21:51:51.2357||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 21:51:54.6578||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 21:51:54.6726||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 21:51:54.7018||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 21:51:54.8086|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 21:51:54.9102||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
